description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1pw ->	1			0	18	70	1		1	1pw							gpw																																																																																							0
->	1			0					1	gpw							1pw																																																																																							0
1kz ->	1			0	18	70	1		1	1kz							skz																																																																																							0
->	1			0					1	skz							1kz																																																																																							0
r01	1			100	18	70	1		1	101							r01																																																																																							0
101	1			100					1	r01							101																																																																																							0
r02	1			100	18	70	1		1	102							r02																																																																																							0
102	1			100					1	r02							102																																																																																							0
r	1			100	18	70	1		1	103							r03																																																																																							0
103	1			100					1	r03							103																																																																																							0
r	1			100	18	70	1		1	104							r04																																																																																							0
104	1			100					1	r04							104																																																																																							0
r	1			100	18	70	1		1	105							r05																																																																																							0
105	1			100					1	r05							105																																																																																							0
r	1			100	18	70	1		1	106							r06																																																																																							0
106	1			100					1	r06							106																																																																																							0
r	1			100	18	70	1		1	107							r07																																																																																							0
107	1			100					1	r07							107																																																																																							0
r	1			100	18	70	1		1	108							r08																																																																																							0
108	1			100					1	r08							108																																																																																							0
r	1			100	18	70	1		1	109							r09																																																																																							0
109	1			100					1	r09							109																																																																																							0
r	1			100	18	70	1		1	110							r10																																																																																							0
110	1			100					1	r10							110																																																																																							0
r	1			100	18	70	1		1	111							r11																																																																																							0
111	1			100					1	r11							111																																																																																							0
r	1			100	18	70	1		1	112							r12																																																																																							0
112	1			100					1	r12							112																																																																																							0
r	1			100	18	70	1		1	113							r13																																																																																							0
113	1			100					1	r13							113																																																																																							0
r	1			100	18	70	1		1	114							r14																																																																																							0
114	1			100					1	r14							114																																																																																							0
r	1			100	18	70	1		1	115							r15																																																																																							0
115	1			100					1	r15							115																																																																																							0
r	1			100	18	70	1		1	116							r16																																																																																							0
116	1			100					1	r16							116																																																																																							0
r	1			100	18	70	1		1	117							r17																																																																																							0
117	1			100					1	r17							117																																																																																							0
r	1			100	18	70	1		1	118							r18																																																																																							0
118	1			100					1	r18							118																																																																																							0
r	1			100	18	70	1		1	119							r19																																																																																							0
119	1			100					1	r19							119																																																																																							0
r	1			100	18	70	1		1	120							r20																																																																																							0
120	1			100					1	r20							120																																																																																							0
r	1			100	18	70	1		1	121							r21																																																																																							0
121	1			100					1	r21							121																																																																																							0
